,date,state,retail,grocery,parks,transit,workplaces,residential,cases,deaths,daily_new_cases,daily_new_deaths
6026,2020-03-09,UT,13.142857142857142,23.15,38.0,9.75,3.0,-0.5833333333333334,3,0,0.0,0.0
6027,2020-03-10,UT,14.0,18.095238095238095,62.0,7.583333333333333,1.25,-0.5833333333333334,4,0,1.0,0.0
6028,2020-03-11,UT,16.761904761904763,26.238095238095237,48.857142857142854,8.384615384615385,0.8333333333333334,-0.6666666666666666,5,0,1.0,0.0
6029,2020-03-12,UT,18.818181818181817,51.05,58.833333333333336,9.615384615384615,0.16666666666666666,-0.4166666666666667,7,0,2.0,0.0
6030,2020-03-13,UT,10.869565217391305,51.38095238095238,15.428571428571429,3.0,-4.333333333333333,2.75,7,0,0.0,0.0
6031,2020-03-14,UT,5.166666666666667,37.7,2.909090909090909,3.1538461538461537,-3.5,3.5,21,0,14.0,0.0
6032,2020-03-15,UT,14.235294117647058,27.5,59.57142857142857,9.818181818181818,-18.466666666666665,3.6666666666666665,29,0,8.0,0.0
6033,2020-03-16,UT,6.45,35.473684210526315,56.833333333333336,1.75,-17.25,5.7,40,0,11.0,0.0
6034,2020-03-17,UT,-2.0,25.0,71.16666666666667,-0.15384615384615385,-22.416666666666668,8.6,51,0,11.0,0.0
6035,2020-03-18,UT,-15.318181818181818,31.7,7.142857142857143,-2.4615384615384617,-28.916666666666668,13.1,65,0,14.0,0.0
6036,2020-03-19,UT,-24.391304347826086,15.15,4.571428571428571,-9.76923076923077,-29.041666666666668,14.0,80,0,15.0,0.0
6037,2020-03-20,UT,-26.565217391304348,13.238095238095237,21.714285714285715,-14.0,-29.625,14.333333333333334,112,0,32.0,0.0
6038,2020-03-21,UT,-27.043478260869566,8.761904761904763,39.3,-5.923076923076923,-19.941176470588236,9.0,138,0,26.0,0.0
6039,2020-03-22,UT,-24.5,1.0,79.75,-7.333333333333333,-34.06666666666667,7.0,182,1,44.0,1.0
6040,2020-03-23,UT,-25.82608695652174,3.6666666666666665,18.166666666666668,-11.916666666666666,-30.041666666666668,13.555555555555555,257,1,75.0,0.0
6041,2020-03-24,UT,-27.304347826086957,0.38095238095238093,12.5,-13.846153846153847,-34.166666666666664,15.444444444444445,299,1,42.0,0.0
6042,2020-03-25,UT,-28.272727272727273,-0.09523809523809523,-2.4285714285714284,-18.384615384615383,-35.291666666666664,16.0,346,1,47.0,0.0
6043,2020-03-26,UT,-30.043478260869566,-1.4761904761904763,-4.333333333333333,-15.076923076923077,-35.958333333333336,17.333333333333332,402,1,56.0,0.0
6044,2020-03-27,UT,-35.30434782608695,-2.7142857142857144,16.0,-19.307692307692307,-34.458333333333336,16.77777777777778,480,2,78.0,1.0
6045,2020-03-28,UT,-36.04347826086956,-4.956521739130435,-0.46153846153846156,-18.0,-26.41176470588235,12.142857142857142,608,2,128.0,0.0
6046,2020-03-29,UT,-36.0,-14.941176470588236,25.5,-20.083333333333332,-40.4,9.833333333333334,719,2,111.0,0.0
6047,2020-03-30,UT,-29.26086956521739,-2.4761904761904763,31.714285714285715,-14.333333333333334,-36.125,15.444444444444445,806,4,87.0,2.0
6048,2020-03-31,UT,-28.608695652173914,-1.6,44.714285714285715,-12.076923076923077,-39.666666666666664,16.666666666666668,887,5,81.0,1.0
6049,2020-04-01,UT,-29.40909090909091,-2.1,33.57142857142857,-14.76923076923077,-40.5,17.0,1012,7,125.0,2.0
6050,2020-04-02,UT,-33.91304347826087,-4.428571428571429,4.714285714285714,-19.692307692307693,-40.875,18.666666666666668,1077,7,65.0,0.0
6051,2020-04-03,UT,-31.0,-1.3636363636363635,20.22222222222222,-22.307692307692307,-39.791666666666664,17.666666666666668,1248,7,171.0,0.0
6052,2020-04-04,UT,-40.625,-7.869565217391305,10.307692307692308,-20.846153846153847,-30.61111111111111,13.333333333333334,1426,8,178.0,1.0
6053,2020-04-05,UT,-37.85,-11.764705882352942,12.375,-25.083333333333332,-41.4375,10.166666666666666,1618,8,192.0,0.0
6054,2020-04-06,UT,-34.2,-12.9,6.125,-21.076923076923077,-39.833333333333336,16.88888888888889,1662,13,44.0,5.0
6055,2020-04-07,UT,-32.9,-11.2,55.166666666666664,-15.846153846153847,-42.166666666666664,17.22222222222222,1737,13,75.0,0.0
6056,2020-04-08,UT,-31.0,-10.1,50.714285714285715,-15.461538461538462,-42.333333333333336,17.0,1860,13,123.0,0.0
6057,2020-04-09,UT,-32.1,-9.3,20.142857142857142,-18.923076923076923,-42.958333333333336,18.333333333333332,1980,13,120.0,0.0
6058,2020-04-10,UT,-34.666666666666664,-4.7,51.25,-24.076923076923077,-44.708333333333336,17.88888888888889,2103,17,123.0,4.0
6059,2020-04-11,UT,-37.583333333333336,-5.8,10.384615384615385,-20.692307692307693,-30.27777777777778,11.333333333333334,2208,18,105.0,1.0
6060,2020-04-12,UT,-52.0,-32.0,4.4,-30.5,-44.0625,9.5,2305,18,97.0,0.0
6061,2020-04-13,UT,-34.72727272727273,-16.1,-1.4444444444444444,-22.846153846153847,-39.333333333333336,16.666666666666668,2368,18,63.0,0.0
6062,2020-04-14,UT,-29.1,-11.8,36.57142857142857,-18.76923076923077,-39.458333333333336,17.11111111111111,2420,19,52.0,1.0
6063,2020-04-15,UT,-26.272727272727273,-10.5,-2.0,-21.384615384615383,-39.416666666666664,17.444444444444443,2549,20,129.0,1.0
6064,2020-04-16,UT,-29.90909090909091,-14.6,4.75,-23.76923076923077,-39.291666666666664,18.11111111111111,2687,21,138.0,1.0
6065,2020-04-17,UT,-31.0,-14.5,36.75,-19.23076923076923,-37.333333333333336,16.88888888888889,2813,23,126.0,2.0
6066,2020-04-18,UT,-32.07692307692308,-16.181818181818183,17.272727272727273,-12.153846153846153,-24.944444444444443,10.0,2942,25,129.0,2.0
6067,2020-04-19,UT,-29.8,-17.88888888888889,38.5,-18.666666666666668,-38.266666666666666,8.666666666666666,3071,27,129.0,2.0
6068,2020-04-20,UT,-23.3,-11.7,46.714285714285715,-14.666666666666666,-36.791666666666664,15.0,3213,28,142.0,1.0
6069,2020-04-21,UT,-24.2,-11.9,62.833333333333336,-12.076923076923077,-39.25,16.333333333333332,3301,32,88.0,4.0
6070,2020-04-22,UT,-22.363636363636363,-10.3,64.83333333333333,-10.692307692307692,-38.166666666666664,15.555555555555555,3451,34,150.0,2.0
6071,2020-04-23,UT,-26.545454545454547,-11.9,22.285714285714285,-15.23076923076923,-38.125,17.333333333333332,3621,35,170.0,1.0
6072,2020-04-24,UT,-25.307692307692307,-7.8,63.75,-12.076923076923077,-37.625,15.222222222222221,3782,39,161.0,4.0
6073,2020-04-25,UT,-27.46153846153846,-8.727272727272727,53.125,-4.846153846153846,-24.72222222222222,8.428571428571429,3950,41,168.0,2.0
6074,2020-04-26,UT,-21.2,-6.428571428571429,68.0,-6.818181818181818,-36.93333333333333,6.333333333333333,4123,41,173.0,0.0
6075,2020-04-27,UT,-19.4,-5.2,56.166666666666664,-9.5,-35.083333333333336,14.0,4236,41,113.0,0.0
6076,2020-04-28,UT,-19.6,-4.0,73.33333333333333,-7.076923076923077,-38.625,6.333333333333333,4343,45,107.0,4.0
6077,2020-04-29,UT,-16.636363636363637,-1.5,82.66666666666667,-7.384615384615385,-37.333333333333336,14.11111111111111,4499,45,156.0,0.0
6078,2020-04-30,UT,-18.363636363636363,-5.6,62.5,-7.846153846153846,-37.25,14.666666666666666,4672,46,173.0,1.0
6079,2020-05-01,UT,-18.923076923076923,-9.1,43.142857142857146,-11.615384615384615,-34.916666666666664,13.333333333333334,4829,46,157.0,0.0
6080,2020-05-02,UT,-20.76923076923077,-10.1,66.6,-6.3076923076923075,-23.75,6.714285714285714,4981,49,152.0,3.0
6081,2020-05-03,UT,-19.88888888888889,-15.428571428571429,59.0,-3.375,-32.333333333333336,5.333333333333333,5175,50,194.0,1.0
6082,2020-05-04,UT,-12.9,-6.4,75.66666666666667,-2.3636363636363638,-31.791666666666668,11.88888888888889,5326,50,151.0,0.0
6083,2020-05-05,UT,-10.5,-1.1,86.0,-7.833333333333333,-34.041666666666664,12.666666666666666,5449,56,123.0,6.0
6084,2020-05-06,UT,-13.5,-5.9,81.66666666666667,-6.769230769230769,-34.041666666666664,12.666666666666666,5605,59,156.0,3.0
6085,2020-05-07,UT,-12.090909090909092,0.1,78.16666666666667,-7.538461538461538,-33.916666666666664,13.0,5724,61,119.0,2.0
6086,2020-05-08,UT,-13.23076923076923,10.9,65.8,-7.076923076923077,-32.625,11.444444444444445,5919,61,195.0,0.0
6087,2020-05-09,UT,-13.75,17.8,80.28571428571429,-3.0833333333333335,-18.875,4.285714285714286,6103,66,184.0,5.0
6088,2020-05-10,UT,-10.9,20.11111111111111,84.42857142857143,-2.4444444444444446,-28.4,2.1666666666666665,6251,67,148.0,1.0
6089,2020-05-11,UT,-14.1,1.3,69.0,-4.363636363636363,-30.833333333333332,11.666666666666666,6364,68,113.0,1.0
6090,2020-05-12,UT,-14.6,4.2,76.83333333333333,-4.076923076923077,-32.208333333333336,12.666666666666666,6454,73,90.0,5.0
6091,2020-05-13,UT,-12.545454545454545,3.8,71.16666666666667,-7.923076923076923,-32.166666666666664,12.666666666666666,6624,76,170.0,3.0
6092,2020-05-14,UT,-9.857142857142858,2.4,75.33333333333333,-12.5,-33.208333333333336,12.777777777777779,6760,76,136.0,0.0
